Time, XRP(Price), Cash, Market Value, Shares,
80099, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
80121, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
80170, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
80192, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80241, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80287, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80313, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80358, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80385, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80435, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80456, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80506, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80526, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80576, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80597, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80647, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80668, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80718, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80740, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80790, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80867, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
80937, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
81008, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
81079, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
81150, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
81221, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
81292, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
81363, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
81433, 0.18809544, 538.4905016558365, 635.09781089118, 3376.46575, 
